fecha,año,mes,dia,dia_semana,mes_hoja_original,codigo_grupo,nombre_grupo,codigo_linea,nombre_linea,codigo_producto,referencia_producto,descripcion_producto,unidad_medida,cantidad_vendida_diaria,valor_total_diario,peso_aplicado,evento_especial
2025-04-01,2025,4,1,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,5597.96,0.77,
2025-04-02,2025,4,2,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,9596.5,1.32,
2025-04-03,2025,4,3,Thursday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,10396.21,1.43,
2025-04-04,2025,4,4,Friday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,1,12795.34,1.76,
2025-04-05,2025,4,5,Saturday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,1,11995.63,1.65,
2025-04-06,2025,4,6,Sunday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,6397.67,0.88,
2025-04-07,2025,4,7,Monday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,5597.96,0.77,
2025-04-08,2025,4,8,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,4580.15,0.63,
2025-04-09,2025,4,9,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,7851.68,1.08,
2025-04-10,2025,4,10,Thursday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,8505.99,1.17,
2025-04-11,2025,4,11,Friday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,1,10468.91,1.44,
2025-04-12,2025,4,12,Saturday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,9814.61,1.35,
2025-04-13,2025,4,13,Sunday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,5234.46,0.72,
2025-04-14,2025,4,14,Monday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,4580.15,0.63,
2025-04-15,2025,4,15,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,5597.96,0.77,
2025-04-16,2025,4,16,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,9596.5,1.32,
2025-04-17,2025,4,17,Thursday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,1,10396.21,1.43,
2025-04-18,2025,4,18,Friday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,1,12795.34,1.76,
2025-04-19,2025,4,19,Saturday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,1,11995.63,1.65,
2025-04-20,2025,4,20,Sunday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,6397.67,0.88,
2025-04-21,2025,4,21,Monday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,5597.96,0.77,
2025-04-22,2025,4,22,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,4580.15,0.63,
2025-04-23,2025,4,23,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,7851.68,1.08,
2025-04-24,2025,4,24,Thursday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,8505.99,1.17,
2025-04-25,2025,4,25,Friday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,1,10468.91,1.44,
2025-04-26,2025,4,26,Saturday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,9814.61,1.35,
2025-04-27,2025,4,27,Sunday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,5234.46,0.72,
2025-04-28,2025,4,28,Monday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,4580.15,0.63,
2025-04-29,2025,4,29,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,4580.15,0.63,
2025-04-30,2025,4,30,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,,,CHICHARRONES CRUJIENTES,UND,0,7851.68,1.08,
2025-04-01,2025,4,1,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,3487.86,0.77,
2025-04-02,2025,4,2,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,5979.19,1.32,
2025-04-03,2025,4,3,Thursday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,6477.45,1.43,
2025-04-04,2025,4,4,Friday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,1,7972.25,1.76,
